|novel|brut_sum|brut_type|Total Words|Percentage|field
82|Die Kreatur|110|29|18754|0.5865415378052682|hor_full
83|Die Kreatur Teil 2|56|18|10440|0.5363984674329502|hor_full
84|Die Legende der Vogelscheuche|310|43|35449|0.8744957544641598|hor_full
85|Die Legende von Jack mit der Laterne oder wie man den Teufel nasführt|53|22|10939|0.48450498217387333|hor_full
86|Die Nacht von Hellows|52|17|11517|0.4515064686984458|hor_full
87|Die Todeszone|242|37|22616|1.0700389105058365|hor_full
88|Die Verschwörung von Kempton Rock|88|27|12995|0.6771835321277415|hor_full
89|Die Wahl   Wie willst du sterben |236|40|24006|0.9830875614429725|hor_full
90|Die Wald Woche|123|29|18226|0.6748600899813453|hor_full
91|Die Zombieapokalypse mit den Freaks|533|43|56637|0.9410809188339778|hor_full
92|Die letzte Nacht von Kempton Rock|110|36|12245|0.898325847284606|hor_full
93|Die nächste Epoche|114|32|14968|0.7616247995724212|hor_full
94|Die strengsten Eltern der Welt|388|50|37439|1.0363524666791313|hor_full
95|Dunkles Wasser|175|36|22382|0.7818782950585292|hor_full
96|Durch die Spiegel|158|30|14066|1.123275984643822|hor_full
97|Ein Mysteriöser Wald|178|24|22767|0.7818333552949445|hor_full
98|Ein Zirkus im Park |72|24|15146|0.47537303578502577|hor_full
99|Eine Nacht im Lakeside Hotel|409|41|49394|0.8280357938211118|hor_full
100|Eine Stadt  ein Land und danach ist alles vorbei|99|25|13826|0.7160422392593664|hor_full
101|Epidemic_0|1137|73|98025|1.1599081866870695|hor_full
102|Epidemic_1|865|64|66073|1.3091580524571307|hor_full
103|Epidemic Band 2_0|1036|64|98345|1.0534343382988458|hor_full
104|Epidemic Band 2_1|1001|63|97219|1.0296341250167147|hor_full
105|Epidemic Band 2_2|1164|73|94009|1.2381793232562839|hor_full
106|Es ist in deinem Blut|209|38|17016|1.2282557592853784|hor_full
107|FARLAND   Eine Geschichte aus der Welt von THE BITING|105|36|11480|0.9146341463414633|hor_full
108|FL16HT OR F16HT  Flucht oder Kampf |113|30|15851|0.7128887767333291|hor_full
109|Flucht nach Maggir|98|26|10056|0.9745425616547334|hor_full
110|Freaks come out at night|164|36|13743|1.193334788619661|hor_full
111|Gefangen  MMFF |337|39|36738|0.9173063313190701|hor_full
112|Geschichten aus der Anstalt|257|52|30636|0.838882360621491|hor_full
113|Ghost Ship|88|25|15433|0.5702066999287242|hor_full
114|Goretober 2018|94|28|11399|0.824633739801737|hor_full
115|Gothic Novels|130|32|17666|0.7358768255405865|hor_full
116|Guns and Fire|652|51|92721|0.7031848232870656|hor_full
117|Gwyllgi|81|30|15284|0.5299659774928029|hor_full
118|Haus des Schreckens|117|28|9818|1.1916887349765737|hor_full
119|Hazard|59|24|10563|0.5585534412572186|hor_full
120|Heart in a death earth MMFF|152|32|16560|0.9178743961352657|hor_full
121|Homecoming|444|40|25752|1.7241379310344827|hor_full
122|Hunter   Hunteds|1|1|218|0.45871559633027525|hor_full
123|I can t remember  MMFF |414|46|32029|1.2925786006431672|hor_full
124|Im Käfig|117|29|12493|0.9365244536940687|hor_full
125|Infektion  0|200|42|36413|0.5492543871694175|hor_full
126|Inside|86|30|10192|0.8437990580847723|hor_full
127|Its hard to survive___Eine Zombie Apokalypse Mitmacht FanFiktion|393|49|33041|1.1894313126116038|hor_full
128|Jede schlechte Tat   |187|39|17418|1.0736020208979216|hor_full
129|Justitia Games|114|38|16642|0.6850138204542724|hor_full
130|Jäger der Finsternis|148|35|16257|0.910377068339792|hor_full
131|Kannst du dich an Regeln halten |63|22|13133|0.4797076067920506|hor_full
