|novel|brut_sum|brut_type|Total Words|Percentage
87|Des Teufels Kinder|210|36|21435|0.979706088173548
88|Die Albtraumreise|64|23|12352|0.5181347150259068
89|Die Geisterhände|120|35|9972|1.203369434416366
90|Die Herberge der Spinnenfrau_0|275|34|48872|0.5626943853331151
91|Die Herberge der Spinnenfrau_1|162|32|24490|0.6614944875459371
92|Die Horrorparty|116|34|11528|1.0062456627342125
93|Die Hülle|291|37|44140|0.6592659719075669
94|Die Hütte im Wald|92|31|14478|0.6354468849288576
95|Die Jagd geht weiter|89|24|11305|0.7872622733303848
96|Die Jäger|99|27|16612|0.5959547315193835
97|Die Kreatur|110|29|18754|0.5865415378052682
98|Die Kreatur Teil 2|56|18|10440|0.5363984674329502
99|Die Legende der Vogelscheuche|310|43|35449|0.8744957544641598
100|Die Legende von Jack mit der Laterne oder wie man den Teufel nasführt|53|22|10939|0.48450498217387333
101|Die Nacht von Hellows|52|17|11517|0.4515064686984458
102|Die Todeszone|242|37|22616|1.0700389105058365
103|Die Verschwörung von Kempton Rock|88|27|12995|0.6771835321277415
104|Die Wahl   Wie willst du sterben |236|40|24006|0.9830875614429725
105|Die Wald Woche|123|29|18226|0.6748600899813453
106|Die Zombieapokalypse mit den Freaks_0|451|40|49856|0.9046052631578948
107|Die Zombieapokalypse mit den Freaks_1|82|25|6782|1.2090828664110882
108|Die letzte Nacht von Kempton Rock|110|36|12245|0.898325847284606
109|Die nächste Epoche|114|32|14968|0.7616247995724212
110|Die strengsten Eltern der Welt|388|50|37439|1.0363524666791313
111|Dunkles Wasser|175|36|22382|0.7818782950585292
112|Durch die Spiegel|158|30|14066|1.123275984643822
113|Ein Mysteriöser Wald|178|24|22767|0.7818333552949445
114|Ein Zirkus im Park |72|24|15146|0.47537303578502577
115|Eine Nacht im Lakeside Hotel|409|41|49394|0.8280357938211118
116|Eine Stadt  ein Land und danach ist alles vorbei|99|25|13826|0.7160422392593664
117|Epidemic_0|520|61|48699|1.067783732725518
118|Epidemic_1|617|55|49326|1.2508616145643272
119|Epidemic_2|663|59|49310|1.344554857026972
120|Epidemic_3|202|40|16764|1.204963015986638
121|Epidemic Band 2_0|552|50|49617|1.1125219178910455
122|Epidemic Band 2_1|484|57|48729|0.9932483736583965
123|Epidemic Band 2_2|445|48|48354|0.920296149232742
124|Epidemic Band 2_3|556|56|48866|1.1378054270863178
125|Epidemic Band 2_4|579|61|48233|1.2004229469450376
126|Epidemic Band 2_5|585|58|45776|1.2779622509612023
127|Es ist in deinem Blut|209|38|17016|1.2282557592853784
128|FARLAND   Eine Geschichte aus der Welt von THE BITING|105|36|11480|0.9146341463414633
129|FL16HT OR F16HT  Flucht oder Kampf |113|30|15851|0.7128887767333291
130|Flucht nach Maggir|98|26|10056|0.9745425616547334
131|Freaks come out at night|164|36|13743|1.193334788619661
132|Gefangen  MMFF |337|39|36738|0.9173063313190701
133|Geschichten aus der Anstalt|257|52|30636|0.838882360621491
134|Ghost Ship|88|25|15433|0.5702066999287242
135|Goretober 2018|94|28|11399|0.824633739801737
136|Gothic Novels|130|32|17666|0.7358768255405865
137|Guns and Fire_0|388|44|50470|0.7687735288290074
138|Guns and Fire_1|264|37|42251|0.6248372819578235
139|Gwyllgi|81|30|15284|0.5299659774928029
140|Haus des Schreckens|117|28|9818|1.1916887349765737
141|Hazard|59|24|10563|0.5585534412572186
142|Heart in a death earth MMFF|152|32|16560|0.9178743961352657
143|Homecoming|444|40|25752|1.7241379310344827
144|Hunter   Hunteds|1|1|218|0.45871559633027525
145|I can t remember  MMFF |414|46|32029|1.2925786006431672
146|Im Käfig|117|29|12493|0.9365244536940687
147|Infektion  0|200|42|36413|0.5492543871694175
148|Inside|86|30|10192|0.8437990580847723
149|Its hard to survive___Eine Zombie Apokalypse Mitmacht FanFiktion|393|49|33041|1.1894313126116038
150|Jede schlechte Tat   |187|39|17418|1.0736020208979216
151|Justitia Games|114|38|16642|0.6850138204542724
152|Jäger der Finsternis|148|35|16257|0.910377068339792
153|Kannst du dich an Regeln halten |63|22|13133|0.4797076067920506
154|Kill me if you can |365|47|38626|0.9449593538031378
155|Killer Sharks    on Dope |89|28|10375|0.8578313253012048
156|Kingdom of Demons|119|29|12728|0.9349465744814582
157|Klassentreffen|48|17|13121|0.3658257754744303
158|Kuss der Nacht|28|10|2786|1.0050251256281406
159|Lass uns SPIELEN |156|26|25068|0.6223073240785064
160|Laub in ihrem Haar|72|23|12585|0.5721096543504172
161|Lektion des Todes|243|28|16872|1.4402560455192033
162|Let s play|175|35|18416|0.9502606429192006
163|Liebe in der Zombie Apokalypse|110|20|9533|1.1538864995279556
164|Marionette der Finsternis_0|314|47|48556|0.6466760029656479
165|Marionette der Finsternis_1|364|49|48122|0.7564107892440048
166|Marionette der Finsternis_2|198|37|20337|0.9735949255052367
167|Meine Gruselgeschichten Sammlung|157|29|13041|1.2038954067939576
168|Metamorphosis  2011 |134|33|13543|0.9894410396514804
169|My Life Is A Nightmare  |126|32|21218|0.5938354227542653
170|Nachtwanderung|0|0|883|0.0
171|Never look back|395|33|32979|1.1977318899906002
172|Nightmares From Hell|109|31|11516|0.9465092045849253
173|No Princess|234|43|41632|0.5620676402767102
174|Nur ein Sommer   |280|38|28330|0.9883515707730322
175|Operation Nero|224|46|17373|1.2893570482933288
176|Other Inside|79|21|12068|0.6546237984753066
177|PYTHON|256|49|34181|0.7489540973055206
178|Parasitus  MMFF |214|28|18795|1.1386006916733173
179|Perlentauchers  Diary of Mindfuck    HalloweenKalender 2011|316|45|45899|0.6884681583476765
180|Persecuted|235|36|20985|1.1198475101262806
181|Playtime|237|32|15973|1.4837538345958805
182|Post Apokalyptika|53|20|10082|0.5256893473517159
183|Raststätten Zombies|336|39|30441|1.1037745146348674
184|Raupi|87|28|12396|0.7018393030009681
185|Reality|103|34|9685|1.0635002581311306
186|Red Dawn|123|25|11977|1.0269683560156968
187|Reiterhof des Grauens|111|36|10273|1.0805022875498882
188|Require Black_0|305|45|49254|0.6192390465748975
189|Require Black_1|25|13|3785|0.6605019815059445
190|Rotten_0|372|44|48668|0.7643626202021863
191|Rotten_1|354|42|49217|0.7192636690574395
192|Rotten_2|404|48|49373|0.8182609928503433
193|Rotten_3|301|43|49426|0.6089912191963743
194|Rotten_4|213|39|30965|0.687873405457775
195|Sacrificium  Alternatives Ende |113|40|10763|1.0498931524667843
196|Sammlung  Gruseliges  Horrorkurzgeschichten  Thriller|55|16|10469|0.525360588403859
197|Schattenwelt|109|32|13981|0.7796294971747372
198|Schmerz oder Stärke|108|24|7554|1.4297061159650517
199|Schneeweise Schuld|99|27|11080|0.8935018050541517
200|Schrei der Untoten|126|35|13355|0.9434668663421939
201|Schrei der verlorenen Kinder|312|39|22357|1.395536073712931
202|Schritte in der Dunkelheit|171|25|21528|0.794314381270903
203|Select   Do you believe in hell |126|33|28470|0.44257112750263433
204|Sexy Crimes  Band 10  Überlebenskampf in den Bergen|141|29|15771|0.8940460338596157
205|Sexy Crimes  Band 3  Schwestern fürs Leben|274|38|30005|0.9131811364772539
206|Sheitan und Ildico|91|26|11788|0.7719714964370546
207|Shizophrenic|76|24|17044|0.4459047172025346
208|Sie kommen in der Nacht|109|28|16324|0.6677284979171771
209|So eisig die Nacht|164|35|18183|0.9019413738107024
210|Something Strange   Vanished_0|271|40|47892|0.5658565104819177
211|Something Strange   Vanished_1|86|19|18268|0.47076855703963216
212|Sonnenpfad|56|19|11104|0.5043227665706052
213|Stigmatized   Blut für die Bestie|209|38|18417|1.134821089211055
214|Stigmatized II   Der Würger aus dem Jenseits|269|39|27933|0.9630186517738875
215|Stigmatized III   Besuch aus der Hölle|265|37|26577|0.9971027580238552
216|Stille|189|33|35703|0.5293672800604992
217|Stockholm Syndrome  |85|24|9643|0.8814684226900342
218|Strahl n|75|20|21272|0.3525761564497932
219|Sunset I   Der Untergang von Vielenz|93|24|9361|0.9934836021792545
220|Sunset II   Die Bande der Freundschaft|92|24|12517|0.7350003994567389
221|Survive farm life|115|27|16204|0.7097013083189335
222|Sweet Dreams  Cheshires Wonderland|117|33|13149|0.8898015058179329
223|Sweet Sixteen   Wenn das Grauen vor der Tür steht|284|36|20134|1.410549319558955
224|Sünden|25|15|3933|0.6356470887363336
225|TRANSITUS   Zeitenende|346|52|47044|0.7354816767281694
226|Tagebuch des Todes|172|34|12620|1.3629160063391443
227|Thalassophobia|75|17|15839|0.4735147420923038
228|The  Mindbreaker |95|32|11856|0.8012820512820512
229|The Asylum|91|29|15280|0.5955497382198953
230|The Big Revival|18|9|1273|1.4139827179890023
231|The Holders Series_0|390|49|49335|0.7905138339920948
232|The Holders Series_1|387|50|49293|0.7851013328464489
233|The Holders Series_2|405|50|46967|0.8623075776609108
234|The Midnight Storys|170|33|17359|0.9793190852007604
235|The New Days|271|36|45968|0.5895405499477898
236|The Night of Halloween|98|23|10449|0.9378887931859509
237|The Pet|297|44|41206|0.7207688200747464
238|The School Killer|66|14|14984|0.4404698344901228
239|The Tell Tale Death|192|32|19505|0.9843629838502947
240|The World In My Mind|134|33|28021|0.47821276899468257
241|The brain has corridors|83|21|9969|0.8325810011034206
242|The cursed castle|120|25|14331|0.8373456144023446
243|Totholz|368|43|42729|0.8612417795876338
244|Tödliche Täuschung|52|11|8334|0.6239500839932804
245|Und wenn es anders kommt |366|48|49613|0.7377098744280732
246|Unexpected vacation|163|35|27336|0.596283289435177
247|Vampire Lady|87|27|11417|0.7620215468161513
248|Verlass mich nicht|297|42|26715|1.111734980348119
249|Vollmond|168|34|20598|0.8156131663268279
250|Von Gänsehaut und Geistern|99|26|15760|0.6281725888324873
251|Wanderer der Nacht 1   Gegenwart|10|4|2230|0.4484304932735426
252|Was ist aus mir geworden |93|31|10643|0.8738137743117541
253|We re all insane|268|45|20765|1.290633277149049
254|Willenlos|160|31|11825|1.3530655391120507
255|Winternacht|128|23|23879|0.5360358473972947
256|Wolf im Schafspelz|244|32|19070|1.2794965915049816
257|Zombie Apokalypse Now|171|26|17087|1.0007608123134548
258|Âme cassée  Zerbrochene Seele |36|16|4997|0.7204322593556134
259|Überleben oder Wandeln|137|27|15038|0.9110254023141375
260|Чёрный козёл  Der schwarze Ziegenbock|264|47|43723|0.6038012030281545
